rel_path,assigned_label,fold,pct_models_agree,majority_prediction,majority_votes,mean_conf_majority,runner_up,verdict_blank
train/anger/train_anger_0073.jpg,anger,0,0.0,sadness,12,0.749,,
train/anger/train_anger_0077.jpg,anger,0,0.0,fear,11,0.696,sadness:1,
train/anger/train_anger_0072.jpg,anger,0,0.0,sadness,12,0.763,,
train/fear/train_fear_0003.jpg,fear,0,0.0,sadness,7,0.485,natural:4,
train/joy/train_joy_0506.jpg,joy,0,0.0,natural,9,0.632,sadness:2,
train/joy/train_joy_0521.jpg,joy,0,0.0,surprise,11,0.938,anger:1,
train/natural/train_natural_0082.jpg,natural,0,0.0,anger,7,0.556,sadness:5,
train/natural/test_natural_0056.jpg,natural,0,0.0,joy,7,0.642,sadness:4,
train/natural/train_natural_0030.jpg,natural,0,0.0,anger,11,0.763,sadness:1,
train/natural/train_natural_0159.jpg,natural,0,0.0,sadness,8,0.629,joy:4,
train/natural/train_natural_0028.jpg,natural,0,0.0,sadness,6,0.532,anger:6,
train/natural/train_natural_0100.jpg,natural,0,0.0,sadness,11,0.615,fear:1,
train/sadness/train_sadness_0094.jpg,sadness,0,0.0,anger,12,0.731,,
train/sadness/test_sadness_0224.jpg,sadness,0,0.0,anger,12,0.714,,
train/sadness/test_sadness_0235.jpg,sadness,0,0.0,anger,11,0.619,natural:1,
train/sadness/train_sadness_0107.jpg,sadness,0,0.0,anger,12,0.819,,
train/sadness/train_sadness_0025.jpg,sadness,0,0.0,anger,12,0.677,,
train/sadness/train_sadness_0191.jpg,sadness,0,0.0,anger,12,0.625,,
train/sadness/train_sadness_0003.jpg,sadness,0,0.0,fear,12,0.726,,
train/sadness/train_sadness_0183.jpg,sadness,0,0.0,natural,12,0.736,,
train/sadness/train_sadness_0189.jpg,sadness,0,0.0,anger,12,0.733,,
train/sadness/train_sadness_0292.jpg,sadness,0,0.0,anger,12,0.629,,
train/sadness/train_sadness_0216.jpg,sadness,0,0.0,natural,11,0.874,anger:1,
train/sadness/train_sadness_0264.jpg,sadness,0,0.0,anger,12,0.677,,
train/sadness/test_sadness_0135.jpg,sadness,0,0.0,anger,12,0.699,,
train/sadness/train_sadness_0127.jpg,sadness,0,0.0,fear,12,0.746,,
train/surprise/train_surprise_0049.jpg,surprise,0,0.0,joy,11,0.925,sadness:1,
train/surprise/train_surprise_0100.jpg,surprise,0,0.0,natural,10,0.723,sadness:2,
train/surprise/train_surprise_0090.jpg,surprise,0,0.0,sadness,11,0.552,natural:1,
valid/anger/train_anger_0011.jpg,anger,0,0.0,fear,11,0.644,sadness:1,
valid/anger/test_anger_0005.jpg,anger,0,0.0,sadness,12,0.71,,
valid/joy/test_joy_0082.jpg,joy,0,0.0,sadness,11,0.533,surprise:1,
valid/natural/train_natural_0001.jpg,natural,0,0.0,sadness,11,0.536,fear:1,
valid/sadness/train_sadness_0002.jpg,sadness,0,0.0,anger,12,0.832,,
valid/sadness/test_sadness_0052.jpg,sadness,0,0.0,anger,11,0.799,joy:1,
valid/surprise/train_surprise_0001.jpg,surprise,0,0.0,natural,6,0.664,sadness:6,
valid/surprise/train_surprise_0012.jpg,surprise,0,0.0,sadness,7,0.363,natural:4,
test/fear/train_fear_0001.jpg,fear,0,0.0,natural,11,0.75,sadness:1,
test/joy/train_joy_0060.jpg,joy,0,0.0,sadness,6,0.464,surprise:5,
test/natural/train_natural_0027.jpg,natural,0,0.0,joy,12,0.835,,
test/sadness/train_sadness_0014.jpg,sadness,0,0.0,anger,12,0.808,,
test/sadness/train_sadness_0034.jpg,sadness,0,0.0,fear,12,0.816,,
